InvoiceNo,InvoiceDate,CustomerID
536365,01/12/2010 08:26,17850
536366,01/12/2010 08:28,17850
536367,01/12/2010 08:34,13047
536368,01/12/2010 08:34,13047
536369,01/12/2010 08:35,13047
536370,01/12/2010 08:45,12583
536371,01/12/2010 09:00,13748
536372,01/12/2010 09:01,17850
536373,01/12/2010 09:02,17850
536374,01/12/2010 09:09,15100
536375,01/12/2010 09:32,17850
536376,01/12/2010 09:32,15291
536377,01/12/2010 09:34,17850
536378,01/12/2010 09:37,14688
536380,01/12/2010 09:41,17809
536381,01/12/2010 09:41,15311
536382,01/12/2010 09:45,16098
536384,01/12/2010 09:53,18074
536385,01/12/2010 09:56,17420
536386,01/12/2010 09:57,16029
536387,01/12/2010 09:58,16029
536388,01/12/2010 09:59,16250
536389,01/12/2010 10:03,12431
536390,01/12/2010 10:19,17511
536392,01/12/2010 10:29,13705
536393,01/12/2010 10:37,13747
536394,01/12/2010 10:39,13408
536395,01/12/2010 10:47,13767
536396,01/12/2010 10:51,17850
536397,01/12/2010 10:51,17924
536398,01/12/2010 10:52,13448
536399,01/12/2010 10:52,17850
536400,01/12/2010 10:53,13448
536401,01/12/2010 11:21,15862
536402,01/12/2010 11:22,15513
536403,01/12/2010 11:27,12791
536404,01/12/2010 11:29,16218
536405,01/12/2010 11:32,14045
536406,01/12/2010 11:33,17850
536407,01/12/2010 11:34,17850
536408,01/12/2010 11:41,14307
536409,01/12/2010 11:45,17908
536412,01/12/2010 11:49,17920
536415,01/12/2010 11:57,12838
536416,01/12/2010 11:58,13255
536420,01/12/2010 12:03,16583
536423,01/12/2010 12:08,18085
536425,01/12/2010 12:08,13758
536437,01/12/2010 12:12,13694
536446,01/12/2010 12:15,15983
536460,01/12/2010 12:22,14849
536463,01/12/2010 12:22,14849
536464,01/12/2010 12:23,17968
536466,01/12/2010 12:23,14849
536477,01/12/2010 12:27,16210
536488,01/12/2010 12:31,17897
536500,01/12/2010 12:35,17377
536502,01/12/2010 12:36,16552
536508,01/12/2010 12:38,17181
536514,01/12/2010 12:40,17951
536520,01/12/2010 12:43,14729
536521,01/12/2010 12:48,12748
536522,01/12/2010 12:49,15012
536523,01/12/2010 12:50,12868
536524,01/12/2010 12:51,17572
536525,01/12/2010 12:54,14078
536526,01/12/2010 12:58,14001
536527,01/12/2010 13:04,12662
536528,01/12/2010 13:17,15525
536529,01/12/2010 13:20,14237
536530,01/12/2010 13:21,17905
536531,01/12/2010 13:23,15485
536532,01/12/2010 13:24,12433
536533,01/12/2010 13:31,16955
536534,01/12/2010 13:33,15350
536535,01/12/2010 13:38,15605
536536,01/12/2010 13:45,18144
536537,01/12/2010 13:51,15922
